x,Curve4
-0.402778,229.955
12.3103,229.559
25.3373,228.162
35.6196,225.737
43.9621,222.293
52.6158,217.511
59.005,211.372
65.2063,201.885
69.2947,189.869
72.067,174.327
74.3672,160.12
